ID,이탈 여부 예측,이탈 확률(%)
3230758,Yes,96.0
3000810,Yes,95.4
3173378,Yes,95.3
3014806,Yes,95.0
3334666,Yes,94.7
3357330,Yes,94.6
3224262,Yes,94.4
3289042,Yes,93.9
3283606,Yes,93.8
3333054,Yes,93.4
3206658,Yes,93.1
3073002,Yes,93.0
3383938,Yes,92.9
3136418,Yes,92.7
3363198,Yes,92.5
3168274,Yes,92.5
3318902,Yes,92.4
3089294,Yes,92.3
3002418,Yes,92.2
3147470,Yes,92.2
3197746,Yes,92.2
3061650,Yes,92.0
3318982,Yes,91.8
3151086,Yes,91.8
3191182,Yes,91.7
3184634,Yes,91.7
3027150,Yes,91.4
3062466,Yes,91.4
3140762,Yes,91.3
3383490,Yes,91.3
3224102,Yes,91.1
3318582,Yes,91.1
3035038,Yes,91.0
3024634,Yes,90.8
3344838,Yes,90.8
3014642,Yes,90.7
3322774,Yes,90.7
3288438,Yes,90.6
3074602,Yes,90.6
3334326,Yes,90.6
3040886,Yes,90.6
3047686,Yes,90.5
3261910,Yes,90.5
3171254,Yes,90.4
3210738,Yes,90.4
3268990,Yes,90.3
3268450,Yes,90.3
3042898,Yes,90.3
3135134,Yes,90.2
3069802,Yes,90.2
3117170,Yes,90.2
3219878,Yes,90.2
3062258,Yes,90.1
3328766,Yes,90.1
3253758,Yes,89.9
3191578,Yes,89.9
3267150,Yes,89.7
3078934,Yes,89.6
3347810,Yes,89.6
3156734,Yes,89.6
3173698,Yes,89.5
3269798,Yes,89.5
3390546,Yes,89.5
3255398,Yes,89.4
3219998,Yes,89.4
3162574,Yes,89.4
3289266,Yes,89.3
3272406,Yes,89.3
3095906,Yes,89.3
3392806,Yes,89.3
3306034,Yes,89.2
3360646,Yes,89.1
3247666,Yes,89.1
3273346,Yes,89.1
3342274,Yes,89.1
3104234,Yes,89.0
3030826,Yes,89.0
3268782,Yes,89.0
3019214,Yes,88.9
3041222,Yes,88.9
3373498,Yes,88.9
3016750,Yes,88.8
3064422,Yes,88.8
3322618,Yes,88.8
3260274,Yes,88.8
3265178,Yes,88.8
3172118,Yes,88.7
3079330,Yes,88.7
3096670,Yes,88.7
3388810,Yes,88.7
3276262,Yes,88.7
3041382,Yes,88.5
3030610,Yes,88.5
3218054,Yes,88.5
3253690,Yes,88.5
3194834,Yes,88.4
3001690,Yes,88.4
3151158,Yes,88.4
3227918,Yes,88.3
3016710,Yes,88.2
3236806,Yes,88.2
3236734,Yes,88.2
3215594,Yes,88.2
3388326,Yes,88.2
3005090,Yes,88.1
3316538,Yes,88.1
3009210,Yes,88.1
3247638,Yes,88.1
3009374,Yes,88.1
3016846,Yes,88.0
3136962,Yes,88.0
3108682,Yes,88.0
3352558,Yes,88.0
3352698,Yes,87.9
3358634,Yes,87.9
3395378,Yes,87.9
3254474,Yes,87.9
3321198,Yes,87.9
3282918,Yes,87.8
3369882,Yes,87.8
3212710,Yes,87.8
3269430,Yes,87.7
3263242,Yes,87.6
3318266,Yes,87.6
3134858,Yes,87.6
3183482,Yes,87.6
3154114,Yes,87.6
3059634,Yes,87.6
3238278,Yes,87.6
3300234,Yes,87.6
3318634,Yes,87.5
3392110,Yes,87.5
3353062,Yes,87.5
3094218,Yes,87.5
3336830,Yes,87.5
3393006,Yes,87.4
3120134,Yes,87.4
3091226,Yes,87.4
3083558,Yes,87.4
3010850,Yes,87.4
3150074,Yes,87.4
3305274,Yes,87.4
3003630,Yes,87.4
3000082,Yes,87.3
3130126,Yes,87.3
3155878,Yes,87.3
3239262,Yes,87.3
3333630,Yes,87.3
3191262,Yes,87.3
3346830,Yes,87.2
3282346,Yes,87.2
3250070,Yes,87.2
3366938,Yes,87.2
3093546,Yes,87.2
3017394,Yes,87.2
3273782,Yes,87.2
3342998,Yes,87.1
3058850,Yes,87.1
3331326,Yes,87.1
3016338,Yes,87.1
3199210,Yes,87.1
3384994,Yes,87.1
3102098,Yes,87.1
3137530,Yes,87.1
3340302,Yes,87.0
3186718,Yes,87.0
3162482,Yes,86.9
3269306,Yes,86.9
3391822,Yes,86.9
3348834,Yes,86.9
3127266,Yes,86.9
3218218,Yes,86.9
3327126,Yes,86.8
3167994,Yes,86.8
3137918,Yes,86.8
3235650,Yes,86.7
3355534,Yes,86.7
3217358,Yes,86.7
3241186,Yes,86.6
3296462,Yes,86.6
3027626,Yes,86.6
3023622,Yes,86.6
3276378,Yes,86.5
3266962,Yes,86.5
3227666,Yes,86.5
3011438,Yes,86.5
3252466,Yes,86.5
3363578,Yes,86.4
3313594,Yes,86.4
3022678,Yes,86.4
3092522,Yes,86.4
3272982,Yes,86.4
3191294,Yes,86.4
3259274,Yes,86.4
3317982,Yes,86.3
3322226,Yes,86.3
3009134,Yes,86.3
3030114,Yes,86.3
3314774,Yes,86.3
3272330,Yes,86.3
3042170,Yes,86.3
3049602,Yes,86.2
3289302,Yes,86.2
3261206,Yes,86.2
3113310,Yes,86.2
3030402,Yes,86.2
3108234,Yes,86.1
3323270,Yes,86.1
3326206,Yes,86.1
3189330,Yes,86.1
3159674,Yes,86.1
3246662,Yes,86.1
3217278,Yes,86.0
3004866,Yes,86.0
3232646,Yes,86.0
3143630,Yes,86.0
3132234,Yes,86.0
3018198,Yes,86.0
3259394,Yes,86.0
3014814,Yes,86.0
3265926,Yes,86.0
3173406,Yes,85.9
3389946,Yes,85.9
3239154,Yes,85.9
3170714,Yes,85.9
3298874,Yes,85.8
3276066,Yes,85.8
3216662,Yes,85.8
3356702,Yes,85.8
3000730,Yes,85.8
3014074,Yes,85.8
3001630,Yes,85.8
3072094,Yes,85.8
3121366,Yes,85.8
3366726,Yes,85.8
3229430,Yes,85.8
3094070,Yes,85.7
3124474,Yes,85.7
3166266,Yes,85.7
3045386,Yes,85.7
3032378,Yes,85.7
3259946,Yes,85.6
3074234,Yes,85.6
3055954,Yes,85.6
3106434,Yes,85.6
3239614,Yes,85.5
3122414,Yes,85.5
3097906,Yes,85.5
3252294,Yes,85.5
3288402,Yes,85.4
3092998,Yes,85.4
3279958,Yes,85.4
3006754,Yes,85.4
3054450,Yes,85.4
3201714,Yes,85.4
3338786,Yes,85.4
3288250,Yes,85.3
3352358,Yes,85.3
3324958,Yes,85.3
3076378,Yes,85.2
3175202,Yes,85.2
3254986,Yes,85.2
3141974,Yes,85.2
3179770,Yes,85.2
3139786,Yes,85.1
3291542,Yes,85.1
3284070,Yes,85.1
3167358,Yes,85.1
3314082,Yes,85.0
3311682,Yes,85.0
3290118,Yes,85.0
3317898,Yes,85.0
3322710,Yes,85.0
3234026,Yes,85.0
3146822,Yes,85.0
3296174,Yes,84.9
3320046,Yes,84.9
3102690,Yes,84.9
3011106,Yes,84.9
3391014,Yes,84.9
3239550,Yes,84.9
3261794,Yes,84.8
3107394,Yes,84.8
3142626,Yes,84.8
3263550,Yes,84.8
3268574,Yes,84.8
3031918,Yes,84.8
3174062,Yes,84.8
3175354,Yes,84.7
3253946,Yes,84.7
3262654,Yes,84.7
3106226,Yes,84.7
3166282,Yes,84.7
3323962,Yes,84.6
3283854,Yes,84.6
3246910,Yes,84.6
3071426,Yes,84.6
3274910,Yes,84.6
3270562,Yes,84.6
3291018,Yes,84.6
3145806,Yes,84.6
3397506,Yes,84.6
3395054,Yes,84.6
3051026,Yes,84.5
3271690,Yes,84.5
3250246,Yes,84.5
3293138,Yes,84.5
3059274,Yes,84.5
3076426,Yes,84.5
3390746,Yes,84.5
3072962,Yes,84.5
3046118,Yes,84.5
3002218,Yes,84.5
3175462,Yes,84.5
3314930,Yes,84.4
3153790,Yes,84.4
3165250,Yes,84.4
3273950,Yes,84.4
3134138,Yes,84.4
3256418,Yes,84.4
3284390,Yes,84.3
3152070,Yes,84.3
3178394,Yes,84.3
3286398,Yes,84.3
3276878,Yes,84.3
3086714,Yes,84.3
3016662,Yes,84.2
3273382,Yes,84.2
3173874,Yes,84.2
3188846,Yes,84.2
3027950,Yes,84.2
3146074,Yes,84.2
3281250,Yes,84.1
3394502,Yes,84.1
3149210,Yes,84.1
3131562,Yes,84.1
3258614,Yes,84.1
3367450,Yes,84.1
3334474,Yes,84.1
3215982,Yes,84.0
3274322,Yes,84.0
3396794,Yes,84.0
3032402,Yes,84.0
3157122,Yes,84.0
3269774,Yes,84.0
3267306,Yes,84.0
3320210,Yes,84.0
3306694,Yes,83.9
3255802,Yes,83.9
3250002,Yes,83.9
3077750,Yes,83.9
3015210,Yes,83.9
3087842,Yes,83.9
3202346,Yes,83.9
3315162,Yes,83.9
3230414,Yes,83.9
3041590,Yes,83.8
3387862,Yes,83.8
3335994,Yes,83.8
3321618,Yes,83.8
